district,day_pop,night_pop,is_cafe,is_bar,total_business,young_ratio,night_ratio,vibe_nightlife,vibe_chill,vibe_trendy
강남구,965501.4673335792,755641.0474719126,1879,1155,101160,0.3329247100346049,0.7826410140615973,0.34220351038167146,0.34090476358174177,0.5261062709940875
강동구,472066.9266737705,512545.3725102732,801,646,43775,0.25904037905019633,1.0857472607151655,0.8776131983290515,0.327993684728782,0.13067109892532028
강북구,250067.97241207652,276943.9987036612,483,613,25636,0.26725831132442257,1.1074748838579649,0.9159930735548515,0.35333649308132226,0.17465416569483447
강서구,522770.2178451093,531846.7831955191,1003,936,60611,0.31787785527388257,1.0173624377223018,0.756817612150343,0.2462560337695955,0.445574235011308
관악구,410361.84516808746,467773.7707984153,764,950,37657,0.4214684805397221,1.139905613317465,0.9732790151397589,0.4209559298952782,1.0
광진구,344666.8575127049,366395.07940792345,779,746,33295,0.360781351285084,1.063041227845406,0.837505051078574,0.5661489820854457,0.6751973648616852
구로구,377903.50212524587,387925.71354459017,658,660,51832,0.3004661692499994,1.0265205571342462,0.7729945992981473,0.06627578916072636,0.35238542261867045
금천구,229215.40228587433,204127.4385185246,542,444,48067,0.3531107428458095,0.890548525460517,0.532812340266022,0.0,0.6341436214272793
노원구,442311.7283108743,484304.9874651913,712,483,38579,0.2587825280994482,1.0949404152466933,0.8938520718373332,0.33535121113560035,0.12929105888545436
도봉구,238977.9189145082,265263.6783222951,395,344,25298,0.24703131018403435,1.1099924190786443,0.9204400711399626,0.20261802984689115,0.0663975493078979
동대문구,336665.6438252459,337360.25164273224,693,524,43129,0.34805511587945304,1.0020631978053778,0.7297928927320243,0.22383253079339674,0.6070854794272043
동작구,343493.7500189344,379103.0518143716,595,517,27532,0.35103118526954147,1.103667975890316,0.9092685159797222,0.48274261727561557,0.6230136538544255
마포구,463100.06820068305,445372.30768163933,1833,1253,56080,0.3962604667577875,0.9617193739834186,0.658529187804797,1.0,0.8650845837735921
서대문구,367694.8765705191,342264.93453754095,731,514,28468,0.363655387923146,0.9308395529734801,0.6039827853029089,0.672692591562816,0.6905794513929123
서초구,648842.2459949453,522467.2563752459,1247,566,72068,0.31195394060081627,0.8052300225520705,0.38210494468219297,0.28151844174847107,0.4138689439590144
성동구,348981.55291043717,327685.0903363388,824,443,39264,0.360911897412508,0.9389753916890733,0.6183540063384312,0.45354668426745626,0.6758960587481024
성북구,386365.7213224317,421539.1563613661,807,566,35561,0.3077809970079039,1.0910366347163114,0.8869563976680849,0.5332894736351262,0.39153499783389106
송파구,738293.0903334974,734203.6027792897,1327,906,75957,0.2979867945288683,0.9944608887611823,0.7163641034610319,0.2893331078125641,0.3391155999592444
양천구,339663.4808718306,376207.1926890164,605,478,37760,0.23462538664427093,1.1075879918659117,0.9161928685901164,0.22169193734597464,0.0
영등포구,527990.299156612,446134.3590419672,1159,917,74118,0.3629790583513628,0.844966961996465,0.4522966434109355,0.20370841402037634,0.6869596784717807
용산구,296968.9125994536,263328.13880174863,829,694,27854,0.37055358639886943,0.8867195441326243,0.526048792102442,0.8634664895087385,0.727499191544418
은평구,378554.7654563661,437243.2096750273,623,627,36093,0.2744920744298136,1.1550329029616346,1.0,0.27955025697152075,0.2133698760514544
종로구,346635.64269612025,241080.91613355192,1314,874,46830,0.3532187592719986,0.6954879603794715,0.1882555472803346,0.7839039667720777,0.6347217344521553
중구,361016.9367703825,212607.4553075956,1109,703,67098,0.38060913504700955,0.5889126898298964,0.0,0.2453177645242431,0.7813173361624189
중랑구,306506.803008306,347997.747109071,548,674,42344,0.28273285541693677,1.1353671229921791,0.9652621836965231,0.07780153414712322,0.25747523105983555
